,state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
133,DE,2015,3.9,18.1,58.7,35.2,35.9,124.4,148.7,146.9,74.9,16.4,,7.4,18.6,12.1,12.3,31.7,24.8,17.0,10.2,3.2,2.3,8.3,31.9,18.2,18.7,74.6,101.2,106.9,53.1,10.7,,891.4,581.3,662.8,657.1,425.6,245.1,158.8,192.7,299.9,20.0,310.0,730.0,1040.0,1060.0,3820.0,4890.0,4400.0,2110.0,460.0,,130.0,230.0,360.0,360.0,970.0,820.0,510.0,290.0,90.0,13.0,142,398,540,553,2287,3326,3203,1495,302,,40.0,100.0,140.0,150.0,550.0,750.0,690.0,330.0,70.0,5578,17150,12462,29612,29612,30674,32863,29974,28171,28199,179493,3040,11166,93.3,62.2,16.9,272.2,2540,16740,, 1 Mar 2021
134,DE,2016,3.6,16.8,61.5,35.6,36.3,116.4,144.9,146.8,72.7,17.5,,5.8,18.0,11.0,11.0,28.1,23.8,17.7,10.2,3.7,2.5,8.6,34.7,19.7,20.1,71.2,99.0,106.1,51.3,11.2,,672.3,518.5,557.5,548.9,394.3,239.9,166.6,198.6,331.7,20.0,290.0,770.0,1060.0,1080.0,3440.0,4850.0,4420.0,2100.0,480.0,,100.0,230.0,330.0,330.0,830.0,790.0,530.0,290.0,100.0,14.0,148,435,583,597,2103,3312,3193,1483,304,,40.0,110.0,150.0,150.0,500.0,740.0,690.0,330.0,70.0,5553,17133,12528,29661,29661,29517,33459,30095,28921,27111,178764,2880,10992,91.5,61.5,16.1,261.9,2490,16360,, 1 Mar 2021
135,DE,2017,2.0,15.6,53.2,31.5,31.9,116.6,143.8,143.7,71.9,17.4,,3.9,14.5,8.4,8.6,29.9,21.9,17.1,10.0,3.6,,9.4,31.0,18.5,18.7,69.7,99.7,104.1,50.7,11.2,,418.1,467.8,453.3,460.6,429.3,219.4,164.8,198.1,319.8,10.0,270.0,670.0,940.0,950.0,3370.0,4820.0,4360.0,2110.0,470.0,,70.0,180.0,250.0,260.0,870.0,730.0,520.0,290.0,100.0,,161,391,552,556,2018,3341,3153,1485,302,,40.0,100.0,140.0,140.0,490.0,740.0,680.0,330.0,70.0,5625,17174,12608,29782,29782,28946,33495,30298,29303,26892,178716,2770,10855,89.9,60.7,15.5,254.8,2450,16070,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
149,DC,2014,7.9,51.0,63.8,58.7,59.7,120.0,78.0,110.1,99.7,34.1,,22.0,21.6,21.8,22.2,45.0,22.6,15.5,12.2,6.5,,22.3,33.4,29.0,29.4,58.7,44.3,77.6,71.9,22.5,,985.2,647.2,751.3,757.4,766.3,510.5,199.4,169.6,289.0,20.0,400.0,750.0,1140.0,1170.0,3550.0,3440.0,4160.0,2560.0,710.0,,170.0,250.0,420.0,430.0,1330.0,1000.0,590.0,310.0,130.0,,174,391,565,573,1740,1951,2934,1845,466,,50.0,100.0,160.0,160.0,480.0,490.0,650.0,400.0,110.0,2537,7789,11718,19507,19507,29631,44055,37818,25668,20752,177431,3800,9509,87.8,53.6,21.4,399.2,2280,15590,, 1 Mar 2021
150,DC,2015,5.6,36.1,55.4,47.7,48.5,106.3,78.1,106.9,97.9,33.0,,12.9,16.8,15.3,15.7,35.6,23.1,15.2,9.5,3.7,,18.2,30.7,25.8,26.0,55.9,43.9,75.1,72.9,24.1,,708.4,547.6,592.9,602.6,636.4,525.5,202.5,130.4,151.9,10.0,280.0,650.0,930.0,940.0,3190.0,3470.0,4190.0,2680.0,690.0,,100.0,200.0,300.0,300.0,1070.0,1030.0,600.0,260.0,80.0,,141,360,501,506,1677,1951,2947,1995,502,,40.0,90.0,130.0,130.0,440.0,490.0,650.0,430.0,110.0,2616,7736,11717,19453,19453,29989,44423,39235,27365,20788,181253,3330,9578,83.6,52.8,18.4,347.7,2250,15160,, 1 Mar 2021
151,DC,2016,5.1,33.2,48.6,42.3,43.0,95.6,75.8,106.2,99.2,35.2,,10.5,13.3,12.2,12.3,27.8,18.4,13.7,11.0,5.3,,18.0,28.3,24.1,24.6,54.2,46.3,76.0,72.6,24.5,,584.3,470.9,505.4,500.3,513.8,396.3,179.9,151.6,215.7,10.0,260.0,550.0,810.0,820.0,2810.0,3410.0,4320.0,2890.0,730.0,,80.0,150.0,230.0,230.0,820.0,830.0,560.0,320.0,110.0,,140,320,460,469,1592,2086,3087,2115,509,,40.0,80.0,120.0,120.0,400.0,500.0,670.0,460.0,110.0,2566,7767,11319,19086,19086,29393,45007,40618,29129,20754,183987,2870,9858,81.4,53.6,15.6,290.6,2260,14980,Proportion of abortions had by each age-group based on supplemental data from state Department of Health., 1 Mar 2021
152,DC,2017,8.7,35.3,55.5,47.3,48.4,102.9,82.5,105.4,98.2,36.1,,14.6,23.4,19.8,20.2,39.4,26.4,16.3,12.7,6.6,4.4,16.0,24.8,21.2,21.8,49.6,44.6,72.9,70.2,24.0,,916.7,941.1,933.6,927.3,793.9,590.8,223.5,181.4,277.2,20.0,280.0,630.0,910.0,930.0,3000.0,3730.0,4380.0,3000.0,770.0,,110.0,270.0,380.0,390.0,1150.0,1190.0,680.0,390.0,140.0,11.0,125,283,408,419,1445,2015,3030,2142,509,,40.0,80.0,120.0,120.0,400.0,520.0,670.0,470.0,120.0,2483,7824,11397,19221,19221,29119,45176,41549,30529,21224,186818,3930,9560,84.6,51.2,21.1,411.4,2310,15800,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
166,FL,2014,3.5,18.7,76.9,41.6,42.3,132.7,155.1,134.6,71.5,17.8,1.8,6.8,23.1,13.3,13.6,36.2,30.7,20.2,12.1,4.1,1.2,9.3,42.9,22.5,22.7,77.4,101.1,93.6,48.5,11.1,1515.2,736.2,539.9,589.0,599.1,467.6,303.3,216.0,248.5,370.1,410.0,6450.0,17240.0,23680.0,24090.0,85440.0,98320.0,82880.0,41830.0,11330.0,220.0,2360.0,5190.0,7550.0,7760.0,23300.0,19440.0,12450.0,7050.0,2610.0,142.0,3207,9609,12816,12958,49837,64106,57649,28390,7051,50.0,880.0,2440.0,3320.0,3370.0,12300.0,14770.0,12780.0,6380.0,1670.0,116494,345444,224175,569619,569619,644051,634035,615718,585039,636627,3685089,72630,219991,93.3,59.7,19.7,330.1,51260,343880,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
167,FL,2015,3.0,17.0,70.6,37.8,38.4,128.2,153.1,136.6,72.1,18.6,1.5,5.8,21.1,11.7,12.1,33.9,29.2,19.5,11.6,3.9,1.1,8.8,39.6,20.8,21.0,75.7,100.9,96.0,49.4,11.9,1373.7,662.5,532.2,566.0,574.7,448.5,289.1,203.1,233.9,326.6,350.0,5980.0,15810.0,21790.0,22150.0,81370.0,100820.0,85950.0,43440.0,11720.0,180.0,2060.0,4710.0,6770.0,6950.0,21550.0,19200.0,12260.0,6970.0,2460.0,130.0,3103,8854,11957,12087,48053,66417,60381,29812,7519,40.0,830.0,2240.0,3070.0,3110.0,11770.0,15200.0,13300.0,6660.0,1750.0,115610,352219,223751,575970,575970,634831,658452,628960,602878,631126,3732217,69390,224269,92.6,60.1,18.6,309.4,51790,345450,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
168,FL,2016,2.8,15.4,65.0,34.7,35.2,123.0,146.7,136.7,72.4,18.9,1.4,5.3,19.0,10.6,10.9,31.7,27.6,18.5,10.9,3.7,1.0,8.0,36.8,19.2,19.4,73.4,96.9,97.0,50.3,12.3,1403.3,659.0,516.4,552.9,561.6,431.8,285.0,190.9,217.2,304.4,320.0,5510.0,14740.0,20240.0,20560.0,76850.0,100390.0,88000.0,45200.0,11790.0,160.0,1880.0,4300.0,6190.0,6350.0,19810.0,18910.0,11920.0,6820.0,2340.0,116.0,2860,8335,11195,11311,45883,66326,62411,31412,7679,40.0,760.0,2100.0,2860.0,2900.0,11160.0,15160.0,13670.0,6960.0,1770.0,114044,357004,226549,583553,583553,625008,684240,643527,624285,624216,3784829,66150,225022,90.6,59.5,17.5,294.0,51620,342790,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
169,FL,2017,2.2,,,31.8,32.3,118.8,145.0,137.5,73.8,19.7,0.9,,,9.1,9.3,30.5,28.9,20.7,12.1,4.4,0.9,7.1,35.5,18.2,18.4,71.1,94.3,95.6,50.4,12.4,979.4,,,498.7,503.5,428.6,306.2,216.7,239.3,357.5,240.0,,,18720.0,18970.0,73700.0,101410.0,89980.0,47440.0,12360.0,100.0,,,5340.0,5450.0,18900.0,20200.0,13560.0,7760.0,2770.0,107.0,2559,8149,10708,10815,44093,65989,62558,32420,7755,30.0,,,2680.0,2710.0,10710.0,15220.0,13870.0,7260.0,1830.0,112716,358224,229733,587957,587957,620122,699568,654478,642621,625926,3830672,68640,223630,89.8,58.4,17.9,306.9,51590,343850,, 1 Mar 2021
183,GA,2014,3.7,20.1,79.6,43.8,44.6,138.5,155.0,128.1,64.6,15.9,1.8,4.7,15.4,9.0,9.3,27.3,23.9,16.0,9.1,3.1,1.4,12.5,52.2,28.3,28.6,90.4,107.3,92.1,45.5,10.3,1262.7,375.7,294.6,316.1,325.9,302.4,222.9,173.5,199.2,304.5,260.0,4130.0,10820.0,14950.0,15210.0,49740.0,53780.0,44910.0,21960.0,5770.0,130.0,960.0,2090.0,3050.0,3180.0,9810.0,8300.0,5600.0,3080.0,1140.0,101.0,2561,7100,9661,9762,32453,37212,32290,15473,3756,30.0,610.0,1630.0,2240.0,2270.0,7470.0,8270.0,7020.0,3400.0,870.0,70982,205157,135925,341082,341082,359007,346861,350528,340018,363323,2100819,31120,130946,91.1,62.3,14.8,237.6,29300,191370,, 1 Mar 2021
184,GA,2015,3.1,18.3,72.8,39.7,40.4,137.5,155.6,130.1,65.8,16.2,1.2,4.2,14.4,8.2,8.5,27.7,24.9,16.2,9.4,3.2,1.5,11.4,47.4,25.6,25.9,89.2,106.9,93.5,46.2,10.6,846.8,372.5,304.3,322.8,328.9,310.2,232.6,173.5,203.7,301.6,220.0,3850.0,9880.0,13730.0,13950.0,49040.0,55440.0,45630.0,22750.0,5800.0,90.0,890.0,1960.0,2850.0,2940.0,9870.0,8860.0,5690.0,3250.0,1140.0,104.0,2389,6440,8829,8933,31817,38080,32809,15976,3789,30.0,570.0,1480.0,2050.0,2080.0,7350.0,8500.0,7130.0,3520.0,870.0,70985,209767,135724,345491,345491,356554,356382,350774,345682,358260,2113143,31750,131404,91.2,62.2,15.0,241.6,29460,192610,, 1 Mar 2021
185,GA,2016,3.3,16.5,68.4,36.8,37.5,132.2,152.6,132.1,65.9,16.1,1.5,3.9,14.0,7.9,8.1,27.2,25.7,16.8,9.8,3.0,1.4,10.2,44.2,23.5,23.8,85.2,103.6,94.6,46.0,10.6,1035.3,379.7,317.9,334.2,342.6,318.9,248.0,177.7,212.1,285.2,230.0,3530.0,9400.0,12930.0,13160.0,46770.0,56210.0,46590.0,23330.0,5620.0,100.0,830.0,1930.0,2760.0,2860.0,9620.0,9470.0,5930.0,3450.0,1060.0,99.0,2182,6066,8248,8347,30158,38163,33386,16276,3712,30.0,520.0,1410.0,1930.0,1960.0,6990.0,8580.0,7270.0,3600.0,850.0,70141,213620,137395,351015,351015,353872,368249,352769,353831,349735,2129471,32390,130042,90.0,61.1,15.2,249.1,29250,191680,, 1 Mar 2021
186,GA,2017,2.4,14.4,65.7,34.5,35.0,129.1,149.9,131.6,66.8,16.8,1.0,3.4,13.7,7.4,7.6,26.8,25.5,17.1,9.9,3.3,1.1,8.9,42.2,21.9,22.2,83.0,101.5,94.0,46.6,11.0,851.4,384.5,323.9,338.8,344.0,322.8,251.5,182.2,212.1,298.5,170.0,3100.0,9130.0,12230.0,12400.0,45410.0,56550.0,46690.0,23980.0,5830.0,70.0,730.0,1900.0,2640.0,2700.0,9430.0,9630.0,6080.0,3550.0,1140.0,80.0,1910,5868,7778,7858,29199,38300,33342,16730,3814,20.0,460.0,1360.0,1820.0,1840.0,6780.0,8620.0,7280.0,3700.0,880.0,70380,215558,139052,354610,354610,351597,377212,354825,359171,346342,2143757,32520,129243,89.0,60.3,15.2,251.6,29100,190870,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
200,HI,2014,,18.5,75.9,40.7,41.0,132.5,149.5,138.7,85.2,25.8,,6.3,19.5,11.4,11.5,27.1,19.4,12.7,8.9,3.3,,9.6,45.4,23.5,23.6,85.6,106.9,104.0,62.8,18.5,,653.9,430.0,486.4,485.1,316.0,181.2,121.7,142.2,178.0,,430.0,1120.0,1550.0,1560.0,6000.0,7260.0,6780.0,3670.0,1110.0,,150.0,290.0,430.0,440.0,1220.0,940.0,620.0,390.0,140.0,,225,668,893,899,3875,5190,5080,2709,797,,60.0,160.0,220.0,220.0,900.0,1130.0,1080.0,580.0,170.0,7862,23331,14718,38049,38049,45245,48569,48866,43141,43107,266977,3750,18550,98.8,69.5,14.0,202.0,4080,26380,, 1 Mar 2021
201,HI,2015,2.3,15.4,67.8,35.5,36.0,127.1,143.8,136.4,89.0,25.6,,5.3,16.2,9.5,9.7,21.9,17.9,12.1,8.8,3.7,,7.9,41.6,20.9,21.1,85.9,103.4,102.6,66.1,17.9,,672.3,389.6,455.5,461.4,255.2,173.6,118.2,133.4,209.2,20.0,360.0,990.0,1340.0,1360.0,5630.0,7090.0,6690.0,3970.0,1070.0,,120.0,240.0,360.0,370.0,970.0,880.0,600.0,390.0,160.0,,184,605,789,797,3799,5095,5033,2945,751,,50.0,140.0,190.0,200.0,860.0,1110.0,1070.0,630.0,170.0,8016,23241,14542,37783,37783,44249,49265,49061,44544,41992,266894,3370,18420,96.7,69.0,12.6,182.8,4020,25810,, 1 Mar 2021
202,HI,2016,1.3,13.2,63.6,32.4,32.7,121.6,140.4,136.4,85.0,25.4,,5.0,13.9,8.4,8.5,21.1,16.5,11.7,7.7,3.5,,6.4,40.2,19.3,19.4,82.0,101.9,102.9,63.7,17.9,,790.8,345.5,436.7,438.7,256.7,162.3,113.8,121.5,194.4,10.0,310.0,910.0,1220.0,1230.0,5230.0,7040.0,6670.0,3880.0,1050.0,,120.0,200.0,320.0,320.0,910.0,830.0,570.0,350.0,140.0,,149,579,728,733,3529,5106,5037,2909,745,,40.0,140.0,180.0,180.0,800.0,1100.0,1060.0,620.0,160.0,7717,23342,14396,37738,37738,43017,50130,48931,45657,41527,267000,3130,18059,94.0,67.6,11.7,173.2,3920,25110,, 1 Mar 2021
203,HI,2017,2.5,12.4,63.2,31.9,32.4,121.8,136.7,131.8,84.4,27.2,1.3,4.6,14.2,8.3,8.5,21.5,17.7,11.7,8.4,3.8,,6.1,39.7,19.0,19.2,81.8,97.6,99.1,62.6,19.2,1430.0,745.5,357.5,434.6,444.3,263.0,181.7,117.8,134.9,196.6,20.0,290.0,910.0,1200.0,1220.0,5090.0,6780.0,6420.0,3930.0,1120.0,10.0,110.0,200.0,310.0,320.0,900.0,880.0,570.0,390.0,160.0,,142,572,714,721,3415,4841,4832,2915,793,,40.0,130.0,170.0,180.0,770.0,1060.0,1020.0,620.0,170.0,7755,23128,14409,37537,37537,41758,49591,48747,46582,41339,265554,3220,17517,92.5,66.0,12.1,183.6,3830,24560,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
217,ID,2014,1.5,12.5,63.6,32.3,32.7,148.4,175.0,129.4,57.6,13.1,,1.5,8.3,4.1,4.3,11.3,8.6,5.0,3.3,1.2,,9.0,45.4,23.2,23.3,113.3,138.0,103.2,45.0,9.8,,166.3,181.9,178.2,184.3,99.7,62.3,48.8,72.8,126.7,20.0,430.0,1390.0,1820.0,1840.0,8050.0,9160.0,6850.0,2890.0,630.0,,50.0,180.0,230.0,240.0,610.0,450.0,270.0,160.0,60.0,,311,992,1303,1310,6144,7222,5468,2261,471,,70.0,220.0,280.0,290.0,1290.0,1490.0,1120.0,470.0,100.0,12017,34412,21847,56259,56259,54234,52342,52987,50215,48283,314320,1790,22876,93.6,72.8,5.7,78.5,4750,29430,, 1 Mar 2021
218,ID,2015,1.3,12.2,62.8,31.4,31.7,141.9,172.1,131.9,59.4,13.9,,1.9,7.5,4.0,4.1,11.4,7.2,5.3,3.9,1.5,0.9,8.4,45.4,22.5,22.7,107.8,136.9,105.0,45.9,10.2,,224.5,166.1,179.7,180.3,106.0,52.4,50.6,85.1,148.3,20.0,430.0,1370.0,1800.0,1820.0,7550.0,9220.0,7030.0,3070.0,670.0,,70.0,160.0,230.0,230.0,610.0,380.0,280.0,200.0,70.0,11.0,300,988,1288,1299,5733,7332,5596,2375,492,,70.0,210.0,280.0,280.0,1210.0,1500.0,1150.0,500.0,110.0,12229,35510,21758,57268,57268,53189,53576,53276,51690,48220,317219,1780,22827,92.5,72.0,5.6,78.2,4740,29360,, 1 Mar 2021
219,ID,2016,1.1,10.8,56.6,28.1,28.3,137.6,164.7,133.0,55.0,14.4,,1.5,7.7,3.8,3.9,11.3,8.2,5.4,2.6,1.3,,7.6,40.1,19.9,20.0,104.3,129.7,105.9,43.4,10.8,,197.2,192.1,193.3,195.7,108.0,63.1,51.1,60.3,115.9,10.0,400.0,1260.0,1650.0,1670.0,7350.0,9110.0,7160.0,2950.0,700.0,,60.0,170.0,230.0,230.0,600.0,450.0,290.0,140.0,60.0,,280,891,1171,1178,5574,7174,5699,2333,524,,60.0,200.0,260.0,260.0,1170.0,1480.0,1170.0,480.0,110.0,11952,36663,22202,58865,58865,53424,55294,53832,53734,48368,323517,1780,22482,89.4,69.5,5.5,79.1,4670,28930,, 1 Mar 2021
220,ID,2017,1.1,8.6,54.5,26.0,26.2,131.9,161.9,125.2,57.3,13.2,,1.4,6.6,3.4,3.4,11.0,7.5,5.5,3.6,1.3,0.8,5.8,39.3,18.5,18.7,99.9,128.1,99.3,44.4,9.8,,244.7,168.8,183.6,183.2,110.0,58.2,55.3,81.0,134.8,10.0,320.0,1230.0,1550.0,1560.0,7120.0,9210.0,6850.0,3190.0,650.0,,50.0,150.0,200.0,200.0,590.0,420.0,300.0,200.0,70.0,10.0,216,890,1106,1116,5388,7285,5435,2472,485,,50.0,190.0,240.0,240.0,1140.0,1500.0,1120.0,510.0,100.0,12226,37066,22640,59706,59706,53959,56872,54747,55631,49583,330498,1790,22181,86.5,67.1,5.4,80.6,4610,28580,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
234,IL,2014,3.0,18.4,70.4,39.0,39.7,115.3,143.0,143.3,75.7,18.0,1.5,5.5,18.3,10.6,10.9,29.0,23.6,15.2,9.4,3.5,1.1,10.4,41.9,22.8,23.1,69.6,97.5,105.4,54.4,11.8,1418.4,529.1,437.2,462.3,471.5,416.3,241.8,144.6,173.4,299.3,260.0,4670.0,11720.0,16390.0,16640.0,51350.0,63300.0,64140.0,31340.0,7630.0,130.0,1390.0,3050.0,4430.0,4570.0,12890.0,10440.0,6820.0,3910.0,1490.0,93.0,2621,6970,9591,9684,30975,43178,47195,22535,4989,30.0,660.0,1700.0,2360.0,2390.0,7480.0,9680.0,10120.0,4900.0,1150.0,85407,253234,166524,419758,419758,445318,442706,447643,414248,424110,2593783,40120,158556,90.4,61.1,15.5,253.1,35720,234400,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
235,IL,2015,2.4,17.3,63.7,35.5,36.0,112.7,144.9,145.2,76.2,18.1,1.1,5.1,15.7,9.3,9.5,27.6,24.7,15.1,9.2,3.0,1.0,9.7,38.6,21.1,21.3,68.6,98.2,107.1,55.1,12.3,1102.2,525.5,406.6,440.0,446.3,402.5,251.4,141.1,166.4,248.0,200.0,4370.0,10390.0,14760.0,14960.0,49740.0,64050.0,64300.0,31940.0,7460.0,90.0,1290.0,2560.0,3860.0,3950.0,12190.0,10910.0,6690.0,3840.0,1260.0,84.0,2458,6306,8764,8848,30279,43379,47451,23092,5067,30.0,620.0,1520.0,2140.0,2160.0,7270.0,9770.0,10160.0,5000.0,1140.0,83970,252541,163189,415730,415730,441237,441910,442888,419256,412841,2573862,38830,158116,90.3,61.4,15.1,245.6,35510,232460,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
236,IL,2016,2.7,14.6,58.6,31.8,32.3,106.9,142.0,146.5,76.8,18.8,1.5,4.6,14.5,8.4,8.7,26.7,24.0,15.2,9.1,3.2,0.9,8.0,35.6,18.8,18.9,64.6,96.3,108.2,55.7,12.7,1579.3,567.9,407.0,449.0,460.0,413.5,249.6,140.2,163.8,254.2,220.0,3680.0,9410.0,13090.0,13320.0,46220.0,62920.0,64220.0,32500.0,7510.0,120.0,1150.0,2320.0,3470.0,3590.0,11550.0,10650.0,6650.0,3860.0,1290.0,76.0,2018,5711,7729,7805,27928,42669,47420,23547,5076,30.0,520.0,1370.0,1890.0,1920.0,6740.0,9600.0,10150.0,5090.0,1140.0,81390,251721,160488,412209,412209,432539,443092,438354,423121,399976,2549291,37590,154445,88.9,60.6,14.7,243.4,34650,226680,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
237,IL,2017,2.3,13.3,57.1,30.4,30.8,105.3,137.4,143.7,77.0,19.1,1.3,4.2,15.5,8.6,8.9,27.2,24.7,15.0,8.8,3.4,0.7,7.2,33.3,17.4,17.6,62.8,91.9,106.0,56.0,12.7,1779.2,584.8,464.8,495.2,505.7,433.5,269.0,141.5,157.7,270.4,190.0,3320.0,9080.0,12390.0,12580.0,44630.0,61210.0,62170.0,32690.0,7520.0,100.0,1050.0,2470.0,3520.0,3620.0,11540.0,11010.0,6490.0,3750.0,1360.0,59.0,1799,5304,7103,7162,26618,40922,45863,23803,5022,20.0,470.0,1310.0,1770.0,1790.0,6480.0,9290.0,9820.0,5140.0,1140.0,81247,248974,159056,408030,408030,423740,445450,432644,424820,394254,2528938,37770,149390,87.3,59.1,14.9,252.8,33650,220810,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
251,IN,2014,2.2,17.0,72.2,39.2,39.6,125.5,163.4,123.5,52.1,10.9,0.6,2.5,8.9,5.1,5.2,14.0,12.9,7.7,4.7,1.5,1.3,11.9,52.0,28.0,28.3,91.8,124.3,95.8,39.0,7.7,436.5,212.2,171.4,181.8,184.2,152.7,103.6,80.8,121.6,192.2,100.0,2270.0,6450.0,8710.0,8810.0,30150.0,34220.0,26070.0,10490.0,2290.0,30.0,340.0,800.0,1130.0,1160.0,3370.0,2700.0,1640.0,960.0,310.0,60.0,1581,4642,6223,6283,22039,26044,20225,7867,1622,10.0,350.0,1010.0,1360.0,1370.0,4740.0,5480.0,4210.0,1670.0,360.0,45292,133110,89220,222330,222330,240151,209474,211055,201545,209569,1294124,10130,84080,86.6,65.0,7.8,120.4,17830,112030,, 1 Mar 2021
252,IN,2015,2.5,15.7,68.2,36.5,37.0,123.8,164.4,125.5,53.0,11.4,0.7,2.1,8.7,4.7,4.9,14.5,12.7,7.8,4.9,1.6,1.4,11.2,48.8,26.1,26.4,89.9,125.3,97.4,39.7,8.0,500.4,187.2,178.8,180.9,184.4,160.9,101.8,80.2,123.0,198.0,110.0,2110.0,6030.0,8130.0,8240.0,29450.0,34870.0,26310.0,10850.0,2340.0,30.0,280.0,770.0,1050.0,1080.0,3440.0,2700.0,1640.0,1000.0,330.0,64.0,1499,4314,5813,5877,21389,26577,20420,8127,1650,20.0,330.0,940.0,1270.0,1280.0,4620.0,5590.0,4250.0,1730.0,360.0,44531,134313,88352,222665,222665,237967,212128,209564,204592,205349,1292265,10190,84040,86.7,65.0,7.9,121.3,17830,112060,, 1 Mar 2021
253,IN,2016,2.1,13.8,62.9,33.3,33.7,119.3,160.1,128.0,54.8,12.0,0.8,2.0,8.7,4.7,4.8,14.5,12.7,8.1,4.6,1.6,1.0,9.6,44.4,23.5,23.7,86.1,121.7,99.2,41.5,8.6,781.9,211.1,195.0,199.0,203.9,168.9,104.7,81.9,111.0,185.3,90.0,1860.0,5590.0,7460.0,7550.0,28040.0,34820.0,26750.0,11420.0,2400.0,40.0,270.0,770.0,1050.0,1080.0,3420.0,2770.0,1700.0,960.0,320.0,45.0,1300,3955,5255,5300,20237,26474,20733,8638,1709,10.0,290.0,870.0,1160.0,1170.0,4390.0,5570.0,4320.0,1820.0,370.0,43254,134741,88994,223735,223735,234989,217449,209011,208227,199606,1293017,10240,83091,85.8,64.3,7.9,123.3,17640,110970,, 1 Mar 2021
254,IN,2017,1.9,13.1,62.0,32.6,33.0,117.3,156.0,129.0,53.9,11.8,0.4,2.2,8.6,4.8,4.8,14.2,13.1,8.1,4.6,1.6,1.2,8.9,43.8,22.8,23.1,84.7,118.0,100.0,40.7,8.4,293.5,248.7,196.4,208.6,209.5,168.0,111.1,81.1,113.8,186.7,80.0,1750.0,5520.0,7280.0,7360.0,27130.0,34850.0,26870.0,11370.0,2340.0,20.0,300.0,770.0,1060.0,1080.0,3290.0,2930.0,1690.0,980.0,310.0,54.0,1190,3901,5091,5145,19589,26354,20842,8577,1663,10.0,270.0,860.0,1120.0,1140.0,4250.0,5560.0,4340.0,1810.0,360.0,43489,133784,89126,222910,222910,231367,223392,208353,210765,197862,1294649,10270,82170,84.9,63.5,7.9,125.0,17460,109910,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
